Label,Time (s),Sound pressure level (dB),Music ,Win,Heart rate(bpm),Emotional state
1.0,10.15134329,-66.40973276,0.0,1.0,86.0,Calm
1.0,10.25517117,-67.44672362,0.0,1.0,86.0,Calm
1.0,10.35948046,-67.35606974,0.0,1.0,86.0,Calm
1.0,10.46157083,-64.36907656,0.0,1.0,86.0,Calm
1.0,10.56810567,-65.69404982,0.0,1.0,86.0,Calm
1.0,10.67310808,-66.6796493,0.0,1.0,86.0,Calm
1.0,10.77816579,-50.09733057,0.0,1.0,86.0,Calm
1.0,10.88488275,-46.92443629,0.0,1.0,86.0,Calm
1.0,10.99149967,-63.40060428,0.0,1.0,86.0,Calm
1.0,11.09493754,-64.88561555,0.0,1.0,86.0,Calm
1.0,11.201612,-66.53663244,0.0,1.0,86.0,Calm
1.0,11.30629825,-65.40592944,0.0,1.0,86.0,Calm
1.0,11.41170546,-64.70289489,0.0,1.0,86.0,Calm
1.0,11.51841788,-63.55679636,0.0,1.0,86.0,Calm
1.0,11.62504062,-62.65281234,0.0,1.0,86.0,Calm
1.0,11.73076567,-61.63897689,0.0,1.0,86.0,Calm
1.0,11.83735308,-67.26252255,0.0,1.0,86.0,Calm
1.0,11.94318742,-66.58658745,0.0,1.0,86.0,Calm
1.0,12.04503375,-66.08502733,0.0,1.0,86.0,Calm
1.0,12.15165779,-64.57139356,0.0,1.0,86.0,Calm
1.0,12.25762321,-48.39563005,0.0,1.0,86.0,Calm
1.0,12.36194638,-33.43113275,0.0,1.0,86.0,Calm
1.0,12.46509542,-34.11184037,0.0,1.0,86.0,Calm
1.0,12.57177075,-50.14912443,0.0,1.0,86.0,Calm
1.0,12.67665154,-44.98244091,0.0,1.0,86.0,Calm
1.0,12.778619,-52.97473279,0.0,1.0,86.0,Calm
1.0,12.88527067,-49.25011257,0.0,1.0,86.0,Calm
1.0,12.99093242,-38.00493104,0.0,1.0,86.0,Calm
1.0,13.09336958,-56.40938923,0.0,1.0,86.0,Calm
1.0,13.19804571,-64.27785808,0.0,1.0,86.0,Calm
1.0,13.30264125,-66.75138431,0.0,1.0,86.0,Calm
1.0,13.40762329,-64.40100033,0.0,1.0,86.0,Calm
1.0,13.51021208,-64.92877015,0.0,1.0,86.0,Calm
1.0,13.61466925,-65.15353322,0.0,1.0,86.0,Calm
1.0,13.72134313,-64.11643413,0.0,1.0,86.0,Calm
1.0,13.82709679,-51.07797534,0.0,1.0,86.0,Calm
1.0,13.93122383,-52.96643014,0.0,1.0,86.0,Calm
1.0,14.03780996,-63.20715864,0.0,1.0,86.0,Calm
1.0,14.14364521,-65.1379505,0.0,1.0,86.0,Calm
1.0,14.24820021,-65.6093465,0.0,1.0,86.0,Calm
1.0,14.35366258,-64.98565358,0.0,1.0,86.0,Calm
1.0,14.46003754,-64.94170929,0.0,1.0,86.0,Calm
1.0,14.56487208,-65.28451781,0.0,1.0,86.0,Calm
1.0,14.66658688,-63.54057486,0.0,1.0,86.0,Calm
1.0,14.77319017,-61.49181121,0.0,1.0,86.0,Calm
1.0,14.87853083,-64.74443468,0.0,1.0,86.0,Calm
1.0,14.98124988,-65.11093901,0.0,1.0,86.0,Calm
1.0,15.08810521,-64.89797759,0.0,1.0,86.0,Calm
1.0,15.19287867,-65.61054081,0.0,1.0,86.0,Calm
1.0,15.29788658,-65.74456235,0.0,1.0,86.0,Calm
1.0,15.40460017,-64.72709133,0.0,1.0,86.0,Calm
1.0,15.50923829,-64.3459014,0.0,1.0,86.0,Calm
1.0,15.61471367,-65.34434321,0.0,1.0,86.0,Calm
1.0,15.72142538,-48.42035007,0.0,1.0,86.0,Calm
