Label,Time (s),Sound pressure level (dB),Music ,Win,Heart rate(bpm),Emotional state
1,10.8848827500 ,-46.9244362900 ,0,1,86,Calm
1,10.9914996700 ,-63.4006042800 ,0,1,86,Calm
1,11.0949375400 ,-64.8856155500 ,0,1,86,Calm
1,11.2016120000 ,-66.5366324400 ,0,1,86,Calm
1,11.3062982500 ,-65.4059294400 ,0,1,86,Calm
1,11.4117054600 ,-64.7028948900 ,0,1,86,Calm
1,11.5184178800 ,-63.5567963600 ,0,1,86,Calm
1,11.6250406200 ,-62.6528123400 ,0,1,86,Calm
1,11.7307656700 ,-61.6389768900 ,0,1,86,Calm
1,11.8373530800 ,-67.2625225500 ,0,1,86,Calm
1,11.9431874200 ,-66.5865874500 ,0,1,86,Calm
1,12.0450337500 ,-66.0850273300 ,0,1,86,Calm
1,12.1516577900 ,-64.5713935600 ,0,1,86,Calm
1,12.2576232100 ,-48.3956300500 ,0,1,86,Calm
1,12.3619463800 ,-33.4311327500 ,0,1,86,Calm
1,12.4650954200 ,-34.1118403700 ,0,1,86,Calm
1,12.5717707500 ,-50.1491244300 ,0,1,86,Calm
1,12.6766515400 ,-44.9824409100 ,0,1,86,Calm
1,12.7786190000 ,-52.9747327900 ,0,1,86,Calm
1,12.8852706700 ,-49.2501125700 ,0,1,86,Calm
1,12.9909324200 ,-38.0049310400 ,0,1,86,Calm
1,13.0933695800 ,-56.4093892300 ,0,1,86,Calm
1,13.1980457100 ,-64.2778580800 ,0,1,86,Calm
1,13.3026412500 ,-66.7513843100 ,0,1,86,Calm
1,13.4076232900 ,-64.4010003300 ,0,1,86,Calm
1,13.5102120800 ,-64.9287701500 ,0,1,86,Calm
1,13.6146692500 ,-65.1535332200 ,0,1,86,Calm
1,13.7213431300 ,-64.1164341300 ,0,1,86,Calm
1,13.8270967900 ,-51.0779753400 ,0,1,86,Calm
1,13.9312238300 ,-52.9664301400 ,0,1,86,Calm
1,14.0378099600 ,-63.2071586400 ,0,1,86,Calm
1,14.1436452100 ,-65.1379505000 ,0,1,86,Calm
1,14.2482002100 ,-65.6093465000 ,0,1,86,Calm
1,14.3536625800 ,-64.9856535800 ,0,1,86,Calm
1,14.4600375400 ,-64.9417092900 ,0,1,86,Calm
1,14.5648720800 ,-65.2845178100 ,0,1,86,Calm
1,14.6665868800 ,-63.5405748600 ,0,1,86,Calm
1,14.7731901700 ,-61.4918112100 ,0,1,86,Calm
1,14.8785308300 ,-64.7444346800 ,0,1,86,Calm
1,14.9812498800 ,-65.1109390100 ,0,1,86,Calm
1,15.0881052100 ,-64.8979775900 ,0,1,86,Calm
1,15.1928786700 ,-65.6105408100 ,0,1,86,Calm
1,15.2978865800 ,-65.7445623500 ,0,1,86,Calm
1,15.4046001700 ,-64.7270913300 ,0,1,86,Calm
1,15.5092382900 ,-64.3459014000 ,0,1,86,Calm
